,Date,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5,Open,High,Low,Close,Adj Close,Volume,^SP500-25Adj_Close,PLNTAdj_Close,XPOFAdj_Close,RSI
182,2022-07-06,LTH,-16.9118,-53.9683,-71.0698,0.9745,0.8727,-0.1448,-0.062,-0.2902,-0.0379,-0.2523,-0.2603,-0.0151,-0.2453,-1.0736,-0.463,96.8855,13.460000038146973,13.649999618530273,13.109999656677246,13.369999885559082,13.369999885559082,200900,1121.300048828125,70.48999786376953,13.010000228881836,54.729745839108546
183,2022-07-07,LTH,63.2017,-7.0382,-21.8562,1.0199,0.9468,-0.0733,0.0767,-0.2751,-0.0183,-0.2568,-0.2113,0.0272,-0.2385,-0.5431,0.5701,131.3887,13.520000457763672,14.199999809265137,13.40999984741211,13.869999885559082,13.869999885559082,320600,1149.1600341796875,73.13999938964844,13.579999923706055,68.58639919831394
184,2022-07-08,LTH,2.603,-39.0035,-56.6691,0.9838,0.9116,-0.0505,0.1018,-0.2781,-0.017,-0.2611,-0.208,0.0244,-0.2324,-0.3747,0.7577,27.9199,13.59000015258789,13.84000015258789,13.199999809265137,13.399999618530273,13.399999618530273,255800,1148.969970703125,73.05000305175781,13.710000038146973,62.38094394709558
185,2022-07-11,LTH,-93.3985,-97.6021,-113.8175,0.8824,0.8147,-0.1064,-0.0102,-0.3035,-0.0339,-0.2696,-0.2548,-0.018,-0.2369,-0.7937,-0.077,-144.997,13.329999923706055,13.329999923706055,12.595000267028809,12.75,12.75,247500,1117.22998046875,71.75,13.010000228881836,42.399994812009744
186,2022-07-12,LTH,-23.0835,-64.1541,-82.6755,0.9513,0.8686,-0.1152,-0.0764,-0.3129,-0.0347,-0.2782,-0.2615,-0.0197,-0.2418,-0.8611,-0.5759,-48.791,12.9399995803833,13.484999656677246,12.899999618530273,13.09000015258789,13.09000015258789,300300,1109.0799560546875,71.58999633789062,13.020000457763672,36.84211627048047
187,2022-07-13,LTH,-105.9454,-111.5417,-119.55,0.9637,0.8586,-0.1697,-0.1662,-0.3328,-0.0437,-0.2892,-0.2909,-0.0393,-0.2516,-1.2747,-1.262,-90.9208,12.699999809265137,12.970000267028809,12.529999732971191,12.75,12.75,449500,1118.6199951171875,72.52999877929688,13.180000305175781,36.52174273600845
188,2022-07-14,LTH,-133.9799,-143.6039,-141.6334,0.9506,0.8379,-0.253,-0.2598,-0.3584,-0.0554,-0.303,-0.3298,-0.0625,-0.2672,-1.9122,-1.9918,-109.9656,12.430000305175781,12.710000038146973,12.149999618530273,12.510000228881836,12.510000228881836,282500,1117.9000244140625,72.41000366210938,13.229999542236328,16.66667445812365
189,2022-07-15,LTH,-23.0475,-59.5388,-81.8558,1.0179,0.8918,-0.2445,-0.1836,-0.3583,-0.0442,-0.3141,-0.3086,-0.0331,-0.2755,-1.8514,-1.4083,54.0839,12.770000457763672,13.420000076293945,12.524999618530273,13.109999656677246,13.109999656677246,268600,1136.969970703125,75.0199966430664,13.720000267028809,43.31797052749638
190,2022-07-18,LTH,76.4576,32.9215,-26.9952,1.0251,0.915,-0.1778,-0.0308,-0.3445,-0.0244,-0.3202,-0.2605,0.012,-0.2725,-1.3452,-0.2357,123.1947,13.380000114440918,13.9399995803833,13.270000457763672,13.460000038146973,13.460000038146973,296700,1139.449951171875,75.2300033569336,13.569999694824219,68.98395940101089
191,2022-07-19,LTH,123.4474,109.7643,15.0836,1.0212,0.995,-0.0443,0.1593,-0.3124,0.0062,-0.3186,-0.1785,0.0752,-0.2537,-0.3337,1.2043,111.9679,13.720000267028809,14.239999771118164,13.720000267028809,13.979999542236328,13.979999542236328,199000,1174.6199951171875,77.55999755859375,14.09000015258789,71.70731026526111
