,time,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5
4145,2010-08-13,ETD,-139.1209,-73.1864,-73.3852,0.9068,0.981,-0.2738,-0.2296,-0.3833,0.023,-0.4063,-0.1146,-0.0672,-0.0474,-3.1525,-2.7048,-96.2813
4146,2010-08-12,ETD,-136.4165,-41.7626,-55.6587,0.9558,1.0545,-0.1722,-0.1637,-0.3681,0.044,-0.4121,-0.0599,-0.0293,-0.0306,-1.9663,-1.8958,-83.9874
4147,2010-08-11,ETD,-202.6597,-36.8681,-58.3817,0.9282,1.0672,-0.1096,-0.1385,-0.3682,0.0549,-0.4231,-0.0349,-0.0117,-0.0233,-1.2474,-1.59,-140.3813
4148,2010-08-10,ETD,-140.3274,7.9021,-33.3041,0.9175,1.2012,-0.0286,-0.063,-0.365,0.0718,-0.4368,0.0026,0.0229,-0.0203,-0.3243,-0.715,-99.473
4149,2010-08-09,ETD,-57.8405,39.0434,-17.0423,0.9024,1.1485,0.0292,-0.0178,-0.3699,0.0849,-0.4548,0.0267,0.0528,-0.0261,0.3304,-0.2001,-41.0959
4150,2010-08-06,ETD,-105.1186,26.6775,-32.062,0.9498,1.1077,0.0576,-0.0272,-0.3862,0.0898,-0.476,0.027,0.0663,-0.0393,0.6534,-0.3052,-155.8505
4151,2010-08-05,ETD,-49.2797,58.8574,-14.2834,0.9836,1.1199,0.1207,-0.0265,-0.3985,0.1,-0.4984,0.0391,0.095,-0.0559,1.3717,-0.2955,-0.9634
4152,2010-08-04,ETD,3.6663,82.0811,-4.7588,1.0715,1.1458,0.1935,-0.0613,-0.4175,0.1059,-0.5234,0.0378,0.1174,-0.0796,2.2082,-0.6819,124.6706
4153,2010-08-03,ETD,-36.9665,67.4413,-21.5451,1.1222,0.9979,0.2432,-0.1336,-0.4475,0.1024,-0.5499,0.0107,0.1196,-0.109,2.7959,-1.4885,-9.4056
4154,2010-08-02,ETD,11.4133,75.5372,-18.4889,1.1915,0.9923,0.3442,-0.1113,-0.4676,0.1079,-0.5755,0.006,0.1449,-0.1389,3.9765,-1.2379,-19.0359
4155,2010-07-30,ETD,1.8338,52.8133,-33.7985,1.1612,0.9939,0.4231,-0.0256,-0.4939,0.1085,-0.6025,-0.0127,0.1623,-0.1751,4.9231,-0.2861,-79.7932
4156,2010-07-29,ETD,18.0325,56.6704,-33.0271,1.0916,0.9372,0.5111,0.1469,-0.5126,0.117,-0.6296,-0.0134,0.2023,-0.2157,5.9775,1.6432,-99.8169
4157,2010-07-28,ETD,49.8911,82.1025,-19.2161,1.0878,0.9873,0.5659,0.3478,-0.5329,0.1259,-0.6588,-0.0163,0.25,-0.2663,6.6564,3.9059,-43.4141
4158,2010-07-27,ETD,103.5032,128.5877,4.1801,1.1091,1.0006,0.5593,0.5017,-0.5624,0.1279,-0.6903,-0.0406,0.2882,-0.3287,6.6373,5.6867,71.4716
4159,2010-07-26,ETD,152.576,143.0095,8.6102,1.2569,1.033,0.4735,0.5216,-0.6083,0.114,-0.7223,-0.1075,0.2933,-0.4008,5.693,6.0247,109.3456
4160,2010-07-23,ETD,138.9424,84.6929,-23.6773,1.1382,0.9642,0.2864,0.3526,-0.6776,0.0732,-0.7508,-0.2406,0.2335,-0.4741,3.5117,4.2129,80.889
4161,2010-07-22,ETD,161.8357,59.2916,-36.0301,1.1385,0.9342,0.1575,0.1858,-0.7283,0.0408,-0.7691,-0.3445,0.188,-0.5325,1.956,2.2734,103.5058
4162,2010-07-21,ETD,151.4979,18.5943,-55.4275,1.0935,0.8479,0.0124,-0.0053,-0.7766,0.0027,-0.7793,-0.4564,0.1231,-0.5795,0.1551,-0.0665,131.0878
4163,2010-07-20,ETD,-48.0595,-68.5294,-103.1814,1.106,0.7606,-0.0829,-0.1245,-0.8075,-0.0275,-0.78,-0.5404,0.0698,-0.6102,-1.0456,-1.5821,-31.2615
4164,2010-07-19,ETD,-99.8068,-94.2955,-121.7022,0.9763,0.7491,-0.1009,-0.0965,-0.8131,-0.04,-0.7731,-0.5738,0.0538,-0.6277,-1.2678,-1.227,-106.5826
4165,2010-07-16,ETD,-58.1008,-82.8164,-115.7388,0.9545,0.7686,-0.076,0.0002,-0.8026,-0.0395,-0.7631,-0.5722,0.0689,-0.6411,-0.9453,0.0027,-120.2065
4166,2010-07-15,ETD,60.0815,-55.1117,-98.4326,1.0108,0.8612,-0.0717,0.1272,-0.7882,-0.0349,-0.7533,-0.5618,0.0966,-0.6584,-0.8829,1.591,-10.6622
4167,2010-07-14,ETD,132.7704,-43.0891,-91.5553,1.0337,0.9015,-0.1477,0.1742,-0.79,-0.0455,-0.7445,-0.5913,0.0912,-0.6825,-1.8085,2.1858,87.2811
